imgs,segs
HGG\flair\patient122_slice110.png,HGG\seg\patient122_slice110.png
LGG\flair\patient025_slice084.png,LGG\seg\patient025_slice084.png
HGG\flair\patient004_slice078.png,HGG\seg\patient004_slice078.png
HGG\flair\patient198_slice084.png,HGG\seg\patient198_slice084.png
HGG\flair\patient092_slice079.png,HGG\seg\patient092_slice079.png
HGG\flair\patient255_slice098.png,HGG\seg\patient255_slice098.png
HGG\flair\patient029_slice074.png,HGG\seg\patient029_slice074.png
HGG\flair\patient180_slice084.png,HGG\seg\patient180_slice084.png
HGG\flair\patient144_slice076.png,HGG\seg\patient144_slice076.png
HGG\flair\patient216_slice079.png,HGG\seg\patient216_slice079.png
HGG\flair\patient018_slice094.png,HGG\seg\patient018_slice094.png
HGG\flair\patient255_slice108.png,HGG\seg\patient255_slice108.png
HGG\flair\patient099_slice074.png,HGG\seg\patient099_slice074.png
HGG\flair\patient227_slice070.png,HGG\seg\patient227_slice070.png
LGG\flair\patient070_slice109.png,LGG\seg\patient070_slice109.png
LGG\flair\patient033_slice093.png,LGG\seg\patient033_slice093.png
HGG\flair\patient161_slice094.png,HGG\seg\patient161_slice094.png
HGG\flair\patient203_slice119.png,HGG\seg\patient203_slice119.png
LGG\flair\patient026_slice104.png,LGG\seg\patient026_slice104.png
HGG\flair\patient049_slice089.png,HGG\seg\patient049_slice089.png
LGG\flair\patient026_slice078.png,LGG\seg\patient026_slice078.png
HGG\flair\patient003_slice076.png,HGG\seg\patient003_slice076.png
LGG\flair\patient076_slice107.png,LGG\seg\patient076_slice107.png
LGG\flair\patient059_slice077.png,LGG\seg\patient059_slice077.png
LGG\flair\patient063_slice093.png,LGG\seg\patient063_slice093.png
HGG\flair\patient174_slice101.png,HGG\seg\patient174_slice101.png
LGG\flair\patient076_slice085.png,LGG\seg\patient076_slice085.png
HGG\flair\patient135_slice076.png,HGG\seg\patient135_slice076.png
HGG\flair\patient102_slice113.png,HGG\seg\patient102_slice113.png
LGG\flair\patient027_slice100.png,LGG\seg\patient027_slice100.png
HGG\flair\patient224_slice085.png,HGG\seg\patient224_slice085.png
HGG\flair\patient235_slice087.png,HGG\seg\patient235_slice087.png
HGG\flair\patient060_slice094.png,HGG\seg\patient060_slice094.png
HGG\flair\patient017_slice083.png,HGG\seg\patient017_slice083.png
HGG\flair\patient029_slice086.png,HGG\seg\patient029_slice086.png
HGG\flair\patient078_slice104.png,HGG\seg\patient078_slice104.png
HGG\flair\patient030_slice115.png,HGG\seg\patient030_slice115.png
HGG\flair\patient238_slice085.png,HGG\seg\patient238_slice085.png
HGG\flair\patient020_slice101.png,HGG\seg\patient020_slice101.png
HGG\flair\patient215_slice076.png,HGG\seg\patient215_slice076.png
HGG\flair\patient048_slice079.png,HGG\seg\patient048_slice079.png
HGG\flair\patient181_slice110.png,HGG\seg\patient181_slice110.png
HGG\flair\patient232_slice084.png,HGG\seg\patient232_slice084.png
HGG\flair\patient036_slice110.png,HGG\seg\patient036_slice110.png
HGG\flair\patient164_slice082.png,HGG\seg\patient164_slice082.png
LGG\flair\patient042_slice074.png,LGG\seg\patient042_slice074.png
HGG\flair\patient119_slice080.png,HGG\seg\patient119_slice080.png
HGG\flair\patient006_slice112.png,HGG\seg\patient006_slice112.png
HGG\flair\patient153_slice113.png,HGG\seg\patient153_slice113.png
HGG\flair\patient122_slice102.png,HGG\seg\patient122_slice102.png
HGG\flair\patient072_slice117.png,HGG\seg\patient072_slice117.png
HGG\flair\patient009_slice079.png,HGG\seg\patient009_slice079.png
LGG\flair\patient053_slice097.png,LGG\seg\patient053_slice097.png
HGG\flair\patient057_slice118.png,HGG\seg\patient057_slice118.png
HGG\flair\patient174_slice088.png,HGG\seg\patient174_slice088.png
LGG\flair\patient055_slice116.png,LGG\seg\patient055_slice116.png
HGG\flair\patient152_slice078.png,HGG\seg\patient152_slice078.png
LGG\flair\patient069_slice103.png,LGG\seg\patient069_slice103.png
HGG\flair\patient060_slice088.png,HGG\seg\patient060_slice088.png
HGG\flair\patient199_slice080.png,HGG\seg\patient199_slice080.png
HGG\flair\patient097_slice087.png,HGG\seg\patient097_slice087.png
HGG\flair\patient241_slice100.png,HGG\seg\patient241_slice100.png
HGG\flair\patient256_slice101.png,HGG\seg\patient256_slice101.png
HGG\flair\patient031_slice091.png,HGG\seg\patient031_slice091.png
HGG\flair\patient034_slice073.png,HGG\seg\patient034_slice073.png
HGG\flair\patient126_slice081.png,HGG\seg\patient126_slice081.png
LGG\flair\patient024_slice104.png,LGG\seg\patient024_slice104.png
LGG\flair\patient015_slice115.png,LGG\seg\patient015_slice115.png
HGG\flair\patient118_slice100.png,HGG\seg\patient118_slice100.png
HGG\flair\patient118_slice076.png,HGG\seg\patient118_slice076.png
HGG\flair\patient193_slice088.png,HGG\seg\patient193_slice088.png
HGG\flair\patient225_slice090.png,HGG\seg\patient225_slice090.png
HGG\flair\patient244_slice108.png,HGG\seg\patient244_slice108.png
HGG\flair\patient038_slice078.png,HGG\seg\patient038_slice078.png
HGG\flair\patient251_slice107.png,HGG\seg\patient251_slice107.png
LGG\flair\patient044_slice098.png,LGG\seg\patient044_slice098.png
LGG\flair\patient019_slice072.png,LGG\seg\patient019_slice072.png
LGG\flair\patient033_slice098.png,LGG\seg\patient033_slice098.png
HGG\flair\patient157_slice113.png,HGG\seg\patient157_slice113.png
LGG\flair\patient011_slice107.png,LGG\seg\patient011_slice107.png
HGG\flair\patient042_slice073.png,HGG\seg\patient042_slice073.png
LGG\flair\patient066_slice100.png,LGG\seg\patient066_slice100.png
LGG\flair\patient055_slice110.png,LGG\seg\patient055_slice110.png
HGG\flair\patient062_slice072.png,HGG\seg\patient062_slice072.png
HGG\flair\patient181_slice119.png,HGG\seg\patient181_slice119.png
LGG\flair\patient028_slice089.png,LGG\seg\patient028_slice089.png
HGG\flair\patient005_slice072.png,HGG\seg\patient005_slice072.png
HGG\flair\patient191_slice080.png,HGG\seg\patient191_slice080.png
HGG\flair\patient225_slice094.png,HGG\seg\patient225_slice094.png
HGG\flair\patient114_slice106.png,HGG\seg\patient114_slice106.png
HGG\flair\patient220_slice086.png,HGG\seg\patient220_slice086.png
HGG\flair\patient250_slice083.png,HGG\seg\patient250_slice083.png
LGG\flair\patient038_slice103.png,LGG\seg\patient038_slice103.png
HGG\flair\patient253_slice099.png,HGG\seg\patient253_slice099.png
LGG\flair\patient044_slice084.png,LGG\seg\patient044_slice084.png
LGG\flair\patient070_slice074.png,LGG\seg\patient070_slice074.png
HGG\flair\patient162_slice093.png,HGG\seg\patient162_slice093.png
HGG\flair\patient259_slice072.png,HGG\seg\patient259_slice072.png
LGG\flair\patient005_slice101.png,LGG\seg\patient005_slice101.png
HGG\flair\patient128_slice087.png,HGG\seg\patient128_slice087.png
HGG\flair\patient051_slice096.png,HGG\seg\patient051_slice096.png
LGG\flair\patient053_slice112.png,LGG\seg\patient053_slice112.png
HGG\flair\patient214_slice081.png,HGG\seg\patient214_slice081.png
HGG\flair\patient128_slice096.png,HGG\seg\patient128_slice096.png
HGG\flair\patient021_slice094.png,HGG\seg\patient021_slice094.png
HGG\flair\patient252_slice086.png,HGG\seg\patient252_slice086.png
HGG\flair\patient244_slice090.png,HGG\seg\patient244_slice090.png
HGG\flair\patient238_slice116.png,HGG\seg\patient238_slice116.png
LGG\flair\patient023_slice117.png,LGG\seg\patient023_slice117.png
HGG\flair\patient231_slice095.png,HGG\seg\patient231_slice095.png
HGG\flair\patient047_slice094.png,HGG\seg\patient047_slice094.png
HGG\flair\patient209_slice104.png,HGG\seg\patient209_slice104.png
HGG\flair\patient128_slice095.png,HGG\seg\patient128_slice095.png
HGG\flair\patient242_slice107.png,HGG\seg\patient242_slice107.png
LGG\flair\patient032_slice073.png,LGG\seg\patient032_slice073.png
HGG\flair\patient221_slice094.png,HGG\seg\patient221_slice094.png
HGG\flair\patient253_slice095.png,HGG\seg\patient253_slice095.png
HGG\flair\patient098_slice098.png,HGG\seg\patient098_slice098.png
HGG\flair\patient135_slice072.png,HGG\seg\patient135_slice072.png
HGG\flair\patient102_slice081.png,HGG\seg\patient102_slice081.png
HGG\flair\patient183_slice119.png,HGG\seg\patient183_slice119.png
LGG\flair\patient038_slice108.png,LGG\seg\patient038_slice108.png
HGG\flair\patient234_slice079.png,HGG\seg\patient234_slice079.png
HGG\flair\patient042_slice074.png,HGG\seg\patient042_slice074.png
HGG\flair\patient017_slice092.png,HGG\seg\patient017_slice092.png
HGG\flair\patient245_slice089.png,HGG\seg\patient245_slice089.png
HGG\flair\patient098_slice110.png,HGG\seg\patient098_slice110.png
HGG\flair\patient065_slice072.png,HGG\seg\patient065_slice072.png
HGG\flair\patient124_slice107.png,HGG\seg\patient124_slice107.png
HGG\flair\patient148_slice075.png,HGG\seg\patient148_slice075.png
HGG\flair\patient206_slice079.png,HGG\seg\patient206_slice079.png
LGG\flair\patient026_slice109.png,LGG\seg\patient026_slice109.png
LGG\flair\patient070_slice080.png,LGG\seg\patient070_slice080.png
LGG\flair\patient052_slice105.png,LGG\seg\patient052_slice105.png
HGG\flair\patient186_slice072.png,HGG\seg\patient186_slice072.png
LGG\flair\patient050_slice082.png,LGG\seg\patient050_slice082.png
LGG\flair\patient021_slice106.png,LGG\seg\patient021_slice106.png
LGG\flair\patient056_slice114.png,LGG\seg\patient056_slice114.png
LGG\flair\patient044_slice076.png,LGG\seg\patient044_slice076.png
HGG\flair\patient157_slice112.png,HGG\seg\patient157_slice112.png
HGG\flair\patient047_slice086.png,HGG\seg\patient047_slice086.png
HGG\flair\patient244_slice107.png,HGG\seg\patient244_slice107.png
HGG\flair\patient187_slice088.png,HGG\seg\patient187_slice088.png
HGG\flair\patient138_slice096.png,HGG\seg\patient138_slice096.png
LGG\flair\patient013_slice082.png,LGG\seg\patient013_slice082.png
LGG\flair\patient076_slice070.png,LGG\seg\patient076_slice070.png
HGG\flair\patient211_slice102.png,HGG\seg\patient211_slice102.png
HGG\flair\patient238_slice098.png,HGG\seg\patient238_slice098.png
HGG\flair\patient251_slice090.png,HGG\seg\patient251_slice090.png
HGG\flair\patient228_slice084.png,HGG\seg\patient228_slice084.png
HGG\flair\patient030_slice087.png,HGG\seg\patient030_slice087.png
HGG\flair\patient194_slice114.png,HGG\seg\patient194_slice114.png
LGG\flair\patient014_slice076.png,LGG\seg\patient014_slice076.png
LGG\flair\patient063_slice070.png,LGG\seg\patient063_slice070.png
HGG\flair\patient092_slice089.png,HGG\seg\patient092_slice089.png
LGG\flair\patient017_slice087.png,LGG\seg\patient017_slice087.png
LGG\flair\patient076_slice078.png,LGG\seg\patient076_slice078.png
HGG\flair\patient240_slice078.png,HGG\seg\patient240_slice078.png
HGG\flair\patient131_slice107.png,HGG\seg\patient131_slice107.png
LGG\flair\patient058_slice073.png,LGG\seg\patient058_slice073.png
HGG\flair\patient149_slice073.png,HGG\seg\patient149_slice073.png
HGG\flair\patient009_slice078.png,HGG\seg\patient009_slice078.png
LGG\flair\patient031_slice082.png,LGG\seg\patient031_slice082.png
HGG\flair\patient257_slice074.png,HGG\seg\patient257_slice074.png
HGG\flair\patient036_slice109.png,HGG\seg\patient036_slice109.png
HGG\flair\patient071_slice111.png,HGG\seg\patient071_slice111.png
LGG\flair\patient066_slice080.png,LGG\seg\patient066_slice080.png
LGG\flair\patient063_slice096.png,LGG\seg\patient063_slice096.png
HGG\flair\patient089_slice102.png,HGG\seg\patient089_slice102.png
LGG\flair\patient052_slice119.png,LGG\seg\patient052_slice119.png
HGG\flair\patient241_slice079.png,HGG\seg\patient241_slice079.png
LGG\flair\patient017_slice096.png,LGG\seg\patient017_slice096.png
LGG\flair\patient006_slice082.png,LGG\seg\patient006_slice082.png
HGG\flair\patient197_slice113.png,HGG\seg\patient197_slice113.png
HGG\flair\patient137_slice078.png,HGG\seg\patient137_slice078.png
LGG\flair\patient024_slice101.png,LGG\seg\patient024_slice101.png
HGG\flair\patient133_slice079.png,HGG\seg\patient133_slice079.png
LGG\flair\patient020_slice106.png,LGG\seg\patient020_slice106.png
HGG\flair\patient145_slice119.png,HGG\seg\patient145_slice119.png
LGG\flair\patient034_slice074.png,LGG\seg\patient034_slice074.png
LGG\flair\patient040_slice083.png,LGG\seg\patient040_slice083.png
LGG\flair\patient037_slice085.png,LGG\seg\patient037_slice085.png
HGG\flair\patient258_slice073.png,HGG\seg\patient258_slice073.png
HGG\flair\patient229_slice119.png,HGG\seg\patient229_slice119.png
HGG\flair\patient080_slice098.png,HGG\seg\patient080_slice098.png
HGG\flair\patient084_slice093.png,HGG\seg\patient084_slice093.png
HGG\flair\patient235_slice099.png,HGG\seg\patient235_slice099.png
HGG\flair\patient243_slice081.png,HGG\seg\patient243_slice081.png
HGG\flair\patient114_slice108.png,HGG\seg\patient114_slice108.png
HGG\flair\patient167_slice076.png,HGG\seg\patient167_slice076.png
HGG\flair\patient207_slice119.png,HGG\seg\patient207_slice119.png
HGG\flair\patient149_slice093.png,HGG\seg\patient149_slice093.png
HGG\flair\patient119_slice075.png,HGG\seg\patient119_slice075.png
HGG\flair\patient157_slice107.png,HGG\seg\patient157_slice107.png
LGG\flair\patient022_slice115.png,LGG\seg\patient022_slice115.png
HGG\flair\patient251_slice093.png,HGG\seg\patient251_slice093.png
HGG\flair\patient146_slice095.png,HGG\seg\patient146_slice095.png
LGG\flair\patient013_slice079.png,LGG\seg\patient013_slice079.png
LGG\flair\patient023_slice108.png,LGG\seg\patient023_slice108.png
LGG\flair\patient059_slice092.png,LGG\seg\patient059_slice092.png
HGG\flair\patient083_slice094.png,HGG\seg\patient083_slice094.png
HGG\flair\patient242_slice098.png,HGG\seg\patient242_slice098.png
LGG\flair\patient037_slice082.png,LGG\seg\patient037_slice082.png
HGG\flair\patient055_slice097.png,HGG\seg\patient055_slice097.png
HGG\flair\patient051_slice088.png,HGG\seg\patient051_slice088.png
HGG\flair\patient114_slice089.png,HGG\seg\patient114_slice089.png
HGG\flair\patient011_slice103.png,HGG\seg\patient011_slice103.png
HGG\flair\patient179_slice074.png,HGG\seg\patient179_slice074.png
HGG\flair\patient109_slice100.png,HGG\seg\patient109_slice100.png
HGG\flair\patient224_slice106.png,HGG\seg\patient224_slice106.png
HGG\flair\patient258_slice097.png,HGG\seg\patient258_slice097.png
HGG\flair\patient239_slice108.png,HGG\seg\patient239_slice108.png
HGG\flair\patient078_slice089.png,HGG\seg\patient078_slice089.png
HGG\flair\patient038_slice102.png,HGG\seg\patient038_slice102.png
HGG\flair\patient116_slice113.png,HGG\seg\patient116_slice113.png
HGG\flair\patient146_slice084.png,HGG\seg\patient146_slice084.png
HGG\flair\patient013_slice112.png,HGG\seg\patient013_slice112.png
HGG\flair\patient148_slice080.png,HGG\seg\patient148_slice080.png
LGG\flair\patient061_slice075.png,LGG\seg\patient061_slice075.png
LGG\flair\patient045_slice119.png,LGG\seg\patient045_slice119.png
LGG\flair\patient008_slice080.png,LGG\seg\patient008_slice080.png
LGG\flair\patient025_slice072.png,LGG\seg\patient025_slice072.png
LGG\flair\patient027_slice078.png,LGG\seg\patient027_slice078.png
HGG\flair\patient004_slice082.png,HGG\seg\patient004_slice082.png
LGG\flair\patient033_slice107.png,LGG\seg\patient033_slice107.png
HGG\flair\patient080_slice099.png,HGG\seg\patient080_slice099.png
HGG\flair\patient016_slice094.png,HGG\seg\patient016_slice094.png
HGG\flair\patient056_slice119.png,HGG\seg\patient056_slice119.png
HGG\flair\patient044_slice080.png,HGG\seg\patient044_slice080.png
HGG\flair\patient181_slice080.png,HGG\seg\patient181_slice080.png
HGG\flair\patient111_slice084.png,HGG\seg\patient111_slice084.png
HGG\flair\patient114_slice076.png,HGG\seg\patient114_slice076.png
HGG\flair\patient244_slice084.png,HGG\seg\patient244_slice084.png
HGG\flair\patient217_slice088.png,HGG\seg\patient217_slice088.png
HGG\flair\patient047_slice095.png,HGG\seg\patient047_slice095.png
LGG\flair\patient033_slice105.png,LGG\seg\patient033_slice105.png
HGG\flair\patient246_slice072.png,HGG\seg\patient246_slice072.png
HGG\flair\patient176_slice081.png,HGG\seg\patient176_slice081.png
LGG\flair\patient070_slice071.png,LGG\seg\patient070_slice071.png
HGG\flair\patient092_slice104.png,HGG\seg\patient092_slice104.png
HGG\flair\patient007_slice080.png,HGG\seg\patient007_slice080.png
HGG\flair\patient237_slice097.png,HGG\seg\patient237_slice097.png
HGG\flair\patient076_slice076.png,HGG\seg\patient076_slice076.png
LGG\flair\patient053_slice088.png,LGG\seg\patient053_slice088.png
HGG\flair\patient142_slice092.png,HGG\seg\patient142_slice092.png
HGG\flair\patient182_slice089.png,HGG\seg\patient182_slice089.png
HGG\flair\patient163_slice095.png,HGG\seg\patient163_slice095.png
HGG\flair\patient121_slice080.png,HGG\seg\patient121_slice080.png
HGG\flair\patient044_slice115.png,HGG\seg\patient044_slice115.png
HGG\flair\patient158_slice101.png,HGG\seg\patient158_slice101.png
HGG\flair\patient100_slice113.png,HGG\seg\patient100_slice113.png
HGG\flair\patient072_slice106.png,HGG\seg\patient072_slice106.png
LGG\flair\patient037_slice074.png,LGG\seg\patient037_slice074.png
HGG\flair\patient198_slice095.png,HGG\seg\patient198_slice095.png
HGG\flair\patient103_slice098.png,HGG\seg\patient103_slice098.png
HGG\flair\patient043_slice095.png,HGG\seg\patient043_slice095.png
HGG\flair\patient068_slice104.png,HGG\seg\patient068_slice104.png
HGG\flair\patient257_slice071.png,HGG\seg\patient257_slice071.png
LGG\flair\patient076_slice106.png,LGG\seg\patient076_slice106.png
HGG\flair\patient031_slice083.png,HGG\seg\patient031_slice083.png
HGG\flair\patient176_slice083.png,HGG\seg\patient176_slice083.png
HGG\flair\patient209_slice110.png,HGG\seg\patient209_slice110.png
LGG\flair\patient022_slice092.png,LGG\seg\patient022_slice092.png
HGG\flair\patient151_slice079.png,HGG\seg\patient151_slice079.png
HGG\flair\patient089_slice079.png,HGG\seg\patient089_slice079.png
LGG\flair\patient021_slice085.png,LGG\seg\patient021_slice085.png
HGG\flair\patient181_slice088.png,HGG\seg\patient181_slice088.png
HGG\flair\patient083_slice107.png,HGG\seg\patient083_slice107.png
HGG\flair\patient256_slice077.png,HGG\seg\patient256_slice077.png
HGG\flair\patient142_slice078.png,HGG\seg\patient142_slice078.png
HGG\flair\patient192_slice103.png,HGG\seg\patient192_slice103.png
LGG\flair\patient008_slice091.png,LGG\seg\patient008_slice091.png
HGG\flair\patient154_slice093.png,HGG\seg\patient154_slice093.png
LGG\flair\patient064_slice087.png,LGG\seg\patient064_slice087.png
HGG\flair\patient209_slice082.png,HGG\seg\patient209_slice082.png
HGG\flair\patient159_slice083.png,HGG\seg\patient159_slice083.png
HGG\flair\patient234_slice090.png,HGG\seg\patient234_slice090.png
LGG\flair\patient067_slice079.png,LGG\seg\patient067_slice079.png
HGG\flair\patient220_slice079.png,HGG\seg\patient220_slice079.png
LGG\flair\patient010_slice083.png,LGG\seg\patient010_slice083.png
HGG\flair\patient124_slice093.png,HGG\seg\patient124_slice093.png
HGG\flair\patient205_slice102.png,HGG\seg\patient205_slice102.png
HGG\flair\patient235_slice070.png,HGG\seg\patient235_slice070.png
HGG\flair\patient161_slice101.png,HGG\seg\patient161_slice101.png
LGG\flair\patient016_slice092.png,LGG\seg\patient016_slice092.png
LGG\flair\patient063_slice088.png,LGG\seg\patient063_slice088.png
HGG\flair\patient146_slice110.png,HGG\seg\patient146_slice110.png
HGG\flair\patient090_slice102.png,HGG\seg\patient090_slice102.png
HGG\flair\patient018_slice089.png,HGG\seg\patient018_slice089.png
HGG\flair\patient081_slice097.png,HGG\seg\patient081_slice097.png
HGG\flair\patient045_slice109.png,HGG\seg\patient045_slice109.png
HGG\flair\patient231_slice097.png,HGG\seg\patient231_slice097.png
HGG\flair\patient156_slice096.png,HGG\seg\patient156_slice096.png
LGG\flair\patient048_slice115.png,LGG\seg\patient048_slice115.png
HGG\flair\patient039_slice077.png,HGG\seg\patient039_slice077.png
LGG\flair\patient036_slice085.png,LGG\seg\patient036_slice085.png
HGG\flair\patient154_slice074.png,HGG\seg\patient154_slice074.png
HGG\flair\patient187_slice083.png,HGG\seg\patient187_slice083.png
LGG\flair\patient060_slice104.png,LGG\seg\patient060_slice104.png
LGG\flair\patient044_slice118.png,LGG\seg\patient044_slice118.png
HGG\flair\patient029_slice089.png,HGG\seg\patient029_slice089.png
HGG\flair\patient027_slice083.png,HGG\seg\patient027_slice083.png
HGG\flair\patient245_slice096.png,HGG\seg\patient245_slice096.png
HGG\flair\patient210_slice089.png,HGG\seg\patient210_slice089.png
HGG\flair\patient125_slice078.png,HGG\seg\patient125_slice078.png
HGG\flair\patient120_slice088.png,HGG\seg\patient120_slice088.png
HGG\flair\patient217_slice080.png,HGG\seg\patient217_slice080.png
LGG\flair\patient007_slice101.png,LGG\seg\patient007_slice101.png
LGG\flair\patient071_slice082.png,LGG\seg\patient071_slice082.png
HGG\flair\patient035_slice102.png,HGG\seg\patient035_slice102.png
HGG\flair\patient068_slice089.png,HGG\seg\patient068_slice089.png
HGG\flair\patient160_slice076.png,HGG\seg\patient160_slice076.png
LGG\flair\patient021_slice078.png,LGG\seg\patient021_slice078.png
HGG\flair\patient017_slice072.png,HGG\seg\patient017_slice072.png
HGG\flair\patient225_slice113.png,HGG\seg\patient225_slice113.png
HGG\flair\patient058_slice098.png,HGG\seg\patient058_slice098.png
HGG\flair\patient128_slice090.png,HGG\seg\patient128_slice090.png
LGG\flair\patient029_slice103.png,LGG\seg\patient029_slice103.png
HGG\flair\patient245_slice118.png,HGG\seg\patient245_slice118.png
LGG\flair\patient013_slice097.png,LGG\seg\patient013_slice097.png
HGG\flair\patient215_slice091.png,HGG\seg\patient215_slice091.png
HGG\flair\patient018_slice109.png,HGG\seg\patient018_slice109.png
LGG\flair\patient033_slice083.png,LGG\seg\patient033_slice083.png
HGG\flair\patient102_slice117.png,HGG\seg\patient102_slice117.png
LGG\flair\patient071_slice074.png,LGG\seg\patient071_slice074.png
HGG\flair\patient250_slice076.png,HGG\seg\patient250_slice076.png
LGG\flair\patient032_slice100.png,LGG\seg\patient032_slice100.png
HGG\flair\patient003_slice072.png,HGG\seg\patient003_slice072.png
HGG\flair\patient125_slice099.png,HGG\seg\patient125_slice099.png
HGG\flair\patient174_slice076.png,HGG\seg\patient174_slice076.png
HGG\flair\patient221_slice086.png,HGG\seg\patient221_slice086.png
HGG\flair\patient251_slice082.png,HGG\seg\patient251_slice082.png
HGG\flair\patient069_slice097.png,HGG\seg\patient069_slice097.png
HGG\flair\patient079_slice098.png,HGG\seg\patient079_slice098.png
HGG\flair\patient243_slice094.png,HGG\seg\patient243_slice094.png
HGG\flair\patient210_slice097.png,HGG\seg\patient210_slice097.png
HGG\flair\patient185_slice085.png,HGG\seg\patient185_slice085.png
HGG\flair\patient011_slice106.png,HGG\seg\patient011_slice106.png
HGG\flair\patient150_slice107.png,HGG\seg\patient150_slice107.png
LGG\flair\patient031_slice095.png,LGG\seg\patient031_slice095.png
LGG\flair\patient008_slice109.png,LGG\seg\patient008_slice109.png
LGG\flair\patient027_slice094.png,LGG\seg\patient027_slice094.png
HGG\flair\patient246_slice076.png,HGG\seg\patient246_slice076.png
HGG\flair\patient110_slice095.png,HGG\seg\patient110_slice095.png
HGG\flair\patient055_slice119.png,HGG\seg\patient055_slice119.png
LGG\flair\patient048_slice109.png,LGG\seg\patient048_slice109.png
HGG\flair\patient007_slice109.png,HGG\seg\patient007_slice109.png
HGG\flair\patient150_slice098.png,HGG\seg\patient150_slice098.png
HGG\flair\patient091_slice072.png,HGG\seg\patient091_slice072.png
HGG\flair\patient236_slice111.png,HGG\seg\patient236_slice111.png
HGG\flair\patient114_slice109.png,HGG\seg\patient114_slice109.png
HGG\flair\patient243_slice083.png,HGG\seg\patient243_slice083.png
HGG\flair\patient227_slice089.png,HGG\seg\patient227_slice089.png
HGG\flair\patient256_slice103.png,HGG\seg\patient256_slice103.png
LGG\flair\patient051_slice083.png,LGG\seg\patient051_slice083.png
HGG\flair\patient042_slice082.png,HGG\seg\patient042_slice082.png
HGG\flair\patient183_slice103.png,HGG\seg\patient183_slice103.png
HGG\flair\patient211_slice100.png,HGG\seg\patient211_slice100.png
HGG\flair\patient257_slice100.png,HGG\seg\patient257_slice100.png
HGG\flair\patient215_slice095.png,HGG\seg\patient215_slice095.png
HGG\flair\patient240_slice105.png,HGG\seg\patient240_slice105.png
LGG\flair\patient028_slice085.png,LGG\seg\patient028_slice085.png
HGG\flair\patient199_slice073.png,HGG\seg\patient199_slice073.png
HGG\flair\patient074_slice105.png,HGG\seg\patient074_slice105.png
HGG\flair\patient159_slice075.png,HGG\seg\patient159_slice075.png
LGG\flair\patient044_slice080.png,LGG\seg\patient044_slice080.png
HGG\flair\patient229_slice090.png,HGG\seg\patient229_slice090.png
HGG\flair\patient012_slice108.png,HGG\seg\patient012_slice108.png
HGG\flair\patient199_slice096.png,HGG\seg\patient199_slice096.png
HGG\flair\patient109_slice112.png,HGG\seg\patient109_slice112.png
HGG\flair\patient033_slice092.png,HGG\seg\patient033_slice092.png
HGG\flair\patient079_slice086.png,HGG\seg\patient079_slice086.png
HGG\flair\patient045_slice082.png,HGG\seg\patient045_slice082.png
HGG\flair\patient007_slice092.png,HGG\seg\patient007_slice092.png
HGG\flair\patient156_slice117.png,HGG\seg\patient156_slice117.png
HGG\flair\patient211_slice078.png,HGG\seg\patient211_slice078.png
HGG\flair\patient103_slice097.png,HGG\seg\patient103_slice097.png
LGG\flair\patient062_slice113.png,LGG\seg\patient062_slice113.png
HGG\flair\patient057_slice116.png,HGG\seg\patient057_slice116.png
HGG\flair\patient004_slice102.png,HGG\seg\patient004_slice102.png
HGG\flair\patient176_slice077.png,HGG\seg\patient176_slice077.png
HGG\flair\patient013_slice097.png,HGG\seg\patient013_slice097.png
HGG\flair\patient048_slice097.png,HGG\seg\patient048_slice097.png
HGG\flair\patient054_slice113.png,HGG\seg\patient054_slice113.png
HGG\flair\patient076_slice089.png,HGG\seg\patient076_slice089.png
HGG\flair\patient192_slice092.png,HGG\seg\patient192_slice092.png
LGG\flair\patient070_slice084.png,LGG\seg\patient070_slice084.png
HGG\flair\patient031_slice081.png,HGG\seg\patient031_slice081.png
HGG\flair\patient040_slice080.png,HGG\seg\patient040_slice080.png
LGG\flair\patient028_slice079.png,LGG\seg\patient028_slice079.png
LGG\flair\patient003_slice097.png,LGG\seg\patient003_slice097.png
LGG\flair\patient052_slice107.png,LGG\seg\patient052_slice107.png
HGG\flair\patient245_slice075.png,HGG\seg\patient245_slice075.png
HGG\flair\patient249_slice072.png,HGG\seg\patient249_slice072.png
HGG\flair\patient250_slice080.png,HGG\seg\patient250_slice080.png
LGG\flair\patient051_slice105.png,LGG\seg\patient051_slice105.png
HGG\flair\patient226_slice095.png,HGG\seg\patient226_slice095.png
HGG\flair\patient026_slice094.png,HGG\seg\patient026_slice094.png
HGG\flair\patient251_slice116.png,HGG\seg\patient251_slice116.png
HGG\flair\patient224_slice111.png,HGG\seg\patient224_slice111.png
LGG\flair\patient053_slice075.png,LGG\seg\patient053_slice075.png
LGG\flair\patient069_slice090.png,LGG\seg\patient069_slice090.png
HGG\flair\patient161_slice106.png,HGG\seg\patient161_slice106.png
HGG\flair\patient185_slice075.png,HGG\seg\patient185_slice075.png
HGG\flair\patient226_slice101.png,HGG\seg\patient226_slice101.png
HGG\flair\patient254_slice096.png,HGG\seg\patient254_slice096.png
LGG\flair\patient061_slice092.png,LGG\seg\patient061_slice092.png
HGG\flair\patient179_slice083.png,HGG\seg\patient179_slice083.png
HGG\flair\patient254_slice078.png,HGG\seg\patient254_slice078.png
HGG\flair\patient082_slice091.png,HGG\seg\patient082_slice091.png
LGG\flair\patient071_slice107.png,LGG\seg\patient071_slice107.png
